id;start_date;end_date;language
1;2019-11-17T11:06:48;2019-11-17T04:15:05;FRENCH
2;2019-11-16T21:43:04;2019-11-17T10:28:44;ENGLISH
3;2019-11-16T21:09:30;2019-11-16T23:05:50;FRENCH
4;2019-11-17T08:55:20;2019-11-17T01:16:59;ENGLISH
5;2019-11-17T12:04:55;2019-11-17T12:39:53;FRENCH
6;2019-11-16T18:20:13;2019-11-16T15:21:35;SPANISH
7;2019-11-17T03:30:16;2019-11-17T06:33:24;ENGLISH
8;2019-11-17T05:18:14;2019-11-17T13:42:52;FRENCH
9;2019-11-17T05:52:38;2019-11-17T14:30:02;ENGLISH
10;2019-11-16T23:03:33;2019-11-16T22:27:10;SPANISH
